id,state_1,state_2
91,2016-02-01 16:53:08.8905780,2016-02-02 11:15:31.6991330
92,2016-02-01 17:06:12.9594080,2016-02-02 11:20:53.6705340
93,2016-02-01 17:49:08.2151700,2016-02-02 22:11:45.5012760
94,2016-02-01 17:56:14.2150180,2016-02-02 11:24:49.1064180
95,2016-02-01 18:13:09.3044640,2016-02-02 14:37:00.1591120
96,2016-02-01 18:52:13.0116560,2016-02-02 11:27:09.2586150
97,2016-02-01 19:29:12.0364850,2016-02-02 21:10:48.2927540
98,2016-02-01 19:30:20.2353780,2016-02-03 08:05:28.3689140
99,2016-02-01 19:38:17.9977070,2016-02-03 08:06:37.5159020
100,2016-02-01 19:43:10.3228750,2016-02-03 15:09:06.3055680
101,2016-02-01 20:09:20.8286190,2016-02-02 11:28:58.4163570
102,2016-02-01 20:27:09.4363650,2016-02-02 12:08:40.6608710
103,2016-02-01 21:12:17.4226960,2016-02-02 11:34:46.3756590
104,2016-02-01 21:38:10.5197630,2016-02-02 14:27:20.9207300
105,2016-02-01 21:39:11.4643970,2016-02-02 11:31:17.2447110
106,2016-02-01 21:48:12.2780720,2016-02-02 11:35:59.2468350
107,2016-02-01 21:51:09.4880130,2016-02-02 11:51:44.0361800
108,2016-02-01 21:57:10.8503730,2016-02-02 11:53:06.5048650
109,2016-02-01 22:11:13.6363870,
110,2016-02-01 22:12:13.3716120,2016-02-02 12:04:53.4216540
111,2016-02-01 22:42:13.3304490,2016-02-02 12:27:52.9383980
112,2016-02-01 23:19:08.8861800,2016-02-09 20:12:11.0914980
113,2016-02-01 23:22:12.4481600,2016-02-02 14:56:20.8232640
114,2016-02-02 07:04:11.2857860,2016-02-02 18:51:43.2424370
115,2016-02-02 08:03:10.0921260,2016-02-02 15:05:02.0291320
116,2016-02-02 08:44:10.8535920,2016-02-02 12:20:21.2079980
117,2016-02-02 08:47:09.2512710,2016-02-02 13:00:57.6115420
118,2016-02-02 08:47:18.4530940,
119,2016-02-02 09:41:09.3009960,
120,2016-02-02 10:28:12.6067000,2016-02-03 12:36:07.9319020
121,2016-02-02 11:12:13.3115620,2016-02-02 15:14:49.4531860
122,2016-02-02 12:02:12.0993960,2016-02-02 15:17:16.0868500
123,2016-02-02 12:07:12.5443110,2016-02-02 15:27:00.5056530
124,2016-02-02 12:15:14.4911510,2016-02-02 15:19:28.0310440
125,2016-02-02 12:20:14.7947740,2016-02-02 15:18:04.5904840
126,2016-02-02 12:35:11.6743170,2016-02-02 19:22:53.8972700
127,2016-02-02 12:45:15.2491600,2016-02-02 19:25:31.2549330
128,2016-02-02 12:53:08.3266560,2016-02-03 03:38:02.9392370
129,2016-02-02 12:58:14.7869000,2016-02-02 15:08:43.8768010
130,2016-02-02 14:28:12.5152560,2016-02-02 19:36:51.7248050
131,2016-02-02 14:36:11.9266790,
132,2016-02-02 15:18:11.4014180,2016-02-02 19:46:54.6642200
133,2016-02-02 15:37:09.6036450,2016-02-02 19:53:19.2181120
134,2016-02-02 15:47:14.6035990,2016-02-02 19:57:41.9586620
135,2016-02-02 15:54:13.2915820,2016-02-03 09:10:55.3931240
136,2016-02-02 16:06:13.4551980,2016-02-02 19:52:29.4197300
137,2016-02-02 16:23:23.2934540,2016-02-02 17:54:18.1023050
138,2016-02-02 16:46:11.8406600,2016-02-02 21:16:32.8583010
139,2016-02-02 17:31:09.0734040,2016-02-02 20:15:47.8205150
140,2016-02-02 18:02:14.3166640,2016-02-02 19:41:33.3174330
141,2016-02-02 18:06:15.0224280,2016-02-03 10:25:55.9117170
142,2016-02-02 18:07:08.8680080,2016-02-02 20:20:13.3350070
143,2016-02-02 18:30:15.6435730,2016-02-03 08:18:03.4074620
144,2016-02-02 18:36:14.4887600,2016-02-03 18:05:38.0524810
145,2016-02-02 19:26:15.4736190,2016-02-03 09:17:58.4354430
146,2016-02-02 19:37:18.9263320,2016-02-03 08:10:55.6246810
147,2016-02-02 20:14:14.4428150,2016-02-03 09:18:56.6010330
148,2016-02-02 20:27:11.8557410,2016-02-05 10:47:55.8753830
149,2016-02-02 21:23:13.5634340,2016-02-03 08:16:04.7280870
150,2016-02-02 21:30:15.7449560,2016-02-04 17:49:57.8543940
151,2016-02-02 22:01:09.6988060,2016-02-03 08:21:40.4035180
152,2016-02-02 22:04:10.9080560,
153,2016-02-02 22:10:15.8983390,
154,2016-02-02 23:17:11.5207480,2016-02-03 09:01:40.8277820
155,2016-02-02 23:49:09.5285060,2016-02-03 09:21:34.5050540
156,2016-02-03 00:08:10.8859250,2016-02-03 11:51:43.6516810
157,2016-02-03 00:12:10.9767360,2016-02-03 08:24:45.0473030
158,2016-02-03 00:19:09.3961050,2016-02-03 09:25:19.1641970
159,2016-02-03 00:21:10.7873360,2016-02-03 09:48:13.1774970
160,2016-02-03 00:29:09.5302080,2016-02-17 17:47:05.2367960
161,2016-02-03 05:56:10.8821150,2016-02-03 15:26:30.5136770
162,2016-02-03 06:44:11.5245600,
163,2016-02-03 07:39:10.5537140,2016-02-03 19:25:13.5007540
164,2016-02-03 07:55:12.0510360,2016-02-03 15:32:03.5451260
165,2016-02-03 08:15:14.4456110,
166,2016-02-03 08:39:09.2137900,2016-02-03 10:05:31.1537040
167,2016-02-03 09:59:09.7141660,
168,2016-02-03 09:59:19.2847240,2016-02-03 16:10:46.7188990
169,2016-02-03 11:10:12.9116620,2016-02-03 16:12:36.8050890
170,2016-02-03 11:26:11.4818300,2016-02-03 16:14:18.1725770
171,2016-02-03 11:39:12.3885210,2016-02-03 16:15:47.9332740
172,2016-02-03 12:19:10.6075580,2016-02-03 19:26:21.1179860
173,2016-02-03 13:03:08.7352660,2016-02-03 16:19:16.7837170
174,2016-02-03 13:19:11.3128760,2016-02-03 16:20:06.8738120
175,2016-02-03 13:33:11.0035270,2016-02-03 16:36:00.6811770
176,2016-02-03 13:46:14.5638800,2016-02-03 16:38:17.3625170
177,2016-02-03 14:36:15.9250540,2016-02-03 16:39:39.3177820
178,2016-02-03 14:50:14.0372640,2016-02-03 16:42:23.6606420
179,2016-02-03 15:43:10.5725770,2016-02-03 16:50:08.4740920
180,2016-02-03 16:23:13.1065210,2016-02-03 18:10:46.2074540
181,2016-02-03 16:53:18.2671220,2016-02-06 12:39:33.0225070
182,2016-02-03 17:27:57.4348880,2016-02-03 19:30:53.1296440
183,2016-02-03 17:49:10.6611410,2016-02-03 19:27:42.6212340
184,2016-02-03 19:20:15.8433960,2016-02-04 08:18:26.1757550
185,2016-02-03 19:42:14.4569420,2016-02-04 08:26:24.0807860
186,2016-02-03 20:59:15.0913080,2016-02-04 08:37:39.8485770
187,2016-02-03 21:04:10.4947120,2016-02-04 08:28:13.9098020
188,2016-02-03 21:30:16.0643400,2016-02-04 08:49:30.3329500
189,2016-02-03 21:33:10.0397890,2016-02-04 08:39:32.0305570
190,2016-02-03 22:05:09.6817710,2016-02-04 11:18:58.4945780
191,2016-02-03 22:16:12.9491800,
192,2016-02-03 22:33:08.5486770,2016-02-04 08:53:41.6511370
193,2016-02-03 22:44:12.1290330,2016-02-04 09:17:27.9956950
194,2016-02-03 22:48:17.9325210,2016-02-04 09:42:19.5388900
195,2016-02-03 22:52:12.7907300,2016-02-04 09:47:39.7506790
196,2016-02-03 22:57:10.1580110,2016-02-04 09:56:27.7263120
197,2016-02-03 22:58:18.8490820,2016-02-04 10:17:38.9192900
198,2016-02-03 23:18:14.4315560,2016-02-04 10:04:29.6754430
199,2016-02-03 23:27:09.4069680,2016-02-04 10:12:30.4476430
200,2016-02-03 23:48:22.9684940,2016-02-05 10:01:57.4168680
201,2016-02-04 00:15:14.8276030,2016-02-04 15:50:02.0125540
202,2016-02-04 00:52:12.0344360,2016-02-04 10:34:10.1309860
203,2016-02-04 01:12:10.9520770,2016-02-04 10:36:02.2597600
204,2016-02-04 08:27:09.5199600,2016-02-04 10:02:11.0932480
205,2016-02-04 08:29:11.0457080,2016-02-04 09:44:17.1131990
206,2016-02-04 09:11:10.7385470,2016-02-04 13:42:16.4521950
207,2016-02-04 09:41:10.5289140,2016-02-04 14:09:50.1956440
208,2016-02-04 10:18:14.8840050,2016-02-04 13:26:59.8291300
209,2016-02-04 10:42:10.3134550,2016-02-12 18:25:04.6330030
210,2016-02-04 11:41:11.3121760,2016-02-04 14:15:12.8457220
211,2016-02-04 12:37:11.8016180,2016-02-04 15:20:50.9981580
212,2016-02-04 13:23:09.8792670,2016-02-04 15:42:10.1439060
213,2016-02-04 13:36:18.9614880,2016-02-04 15:45:36.3109430
214,2016-02-04 14:07:08.9913850,2016-02-04 15:47:32.2266680
215,2016-02-04 14:12:17.5056830,2016-02-04 19:25:19.3203960
216,2016-02-04 14:13:10.9946570,2016-02-05 20:45:21.6909560
217,2016-02-04 14:15:11.1753450,2016-02-04 15:51:01.7187270
218,2016-02-04 14:49:19.3436850,2016-02-04 16:34:47.0829440
219,2016-02-04 15:36:13.3269280,2016-02-04 16:57:05.1850710
220,2016-02-04 15:45:13.0159760,2016-02-04 19:30:08.8586330
221,2016-02-04 16:28:12.0229820,2016-02-04 19:31:30.5283860
222,2016-02-04 16:29:18.3565590,2016-02-04 19:32:58.8251580
223,2016-02-04 17:34:11.0201370,2016-02-04 20:28:15.1295470
224,2016-02-04 21:52:10.4709510,2016-02-05 06:04:26.3180810
225,2016-02-04 23:16:09.8896950,2016-02-05 06:13:52.8280650
226,2016-02-05 02:23:10.4358220,
227,2016-02-05 02:33:11.2001060,
228,2016-02-05 02:50:12.8990440,2016-02-05 06:07:37.8994470
229,2016-02-05 04:03:11.9630480,
230,2016-02-05 04:17:15.2727010,2016-02-05 08:09:03.9809240
231,2016-02-05 05:34:11.3078560,
232,2016-02-05 07:33:11.2797930,2016-02-05 08:22:14.7861490
233,2016-02-05 08:31:08.7919480,2016-02-05 10:23:25.7440810
234,2016-02-05 09:46:10.9166250,2016-02-05 13:25:11.4584270
235,2016-02-05 10:17:09.0774070,
236,2016-02-05 10:27:09.1492720,2016-02-05 13:29:59.6679750
237,2016-02-05 10:44:11.7332720,2016-02-05 13:36:12.6084750
238,2016-02-05 10:59:16.9101920,2016-02-05 13:40:03.3103170
239,2016-02-05 11:34:10.9280510,2016-02-05 13:52:33.8832490
240,2016-02-05 12:26:10.7459310,2016-02-05 16:47:28.7095500
241,2016-02-05 12:34:21.3521750,2016-02-05 21:01:45.1105080
242,2016-02-05 13:24:10.4928570,2016-02-05 16:29:17.3359550
243,2016-02-05 13:28:25.8095650,2016-02-08 19:43:02.1277270
244,2016-02-05 13:35:11.9535030,
245,2016-02-05 17:22:12.0042660,2016-02-06 09:05:50.8943800
246,2016-02-05 17:25:09.6248680,
247,2016-02-05 17:41:10.0019720,2016-02-05 20:56:38.1797190
248,2016-02-05 18:20:16.2908920,2016-02-05 20:58:05.0767270
249,2016-02-05 18:48:10.3941440,2016-02-06 09:12:06.4963010
250,2016-02-05 19:55:10.6603710,
251,2016-02-05 21:00:21.8847330,2016-02-06 09:36:36.2176990
252,2016-02-05 21:21:09.5037300,2016-02-06 09:39:27.4985410
253,2016-02-05 22:02:09.7799180,2016-02-06 10:01:34.4284310
254,2016-02-05 22:42:10.6310590,2016-02-06 10:08:56.1858340
255,2016-02-05 22:45:10.9972930,2016-02-06 10:16:13.7751900
256,2016-02-05 23:16:12.8853470,2016-02-06 10:19:20.0986710
257,2016-02-06 00:40:13.8280210,2016-02-06 10:22:50.4993940
258,2016-02-06 05:51:10.9734290,2016-02-06 10:26:56.9111640
259,2016-02-06 06:12:10.5471770,2016-02-06 10:40:42.3101400
260,2016-02-06 06:53:08.2720290,2016-02-06 10:30:19.5672100
261,2016-02-06 06:54:10.2442560,2016-02-06 10:36:14.8001680
262,2016-02-06 07:40:15.3928680,
263,2016-02-06 08:25:09.4881250,2016-02-06 11:11:18.7805470
264,2016-02-06 08:46:10.8340130,2016-02-06 17:52:21.7789620
265,2016-02-06 08:57:09.1453140,2016-02-06 10:39:22.3288500
266,2016-02-06 09:01:13.6661250,2016-02-06 19:21:20.6726600
267,2016-02-06 09:07:08.7777750,2016-02-06 19:31:04.2091260
268,2016-02-06 09:08:12.1885920,2016-02-06 13:04:07.5252450
269,2016-02-06 09:08:12.1885920,2016-02-06 13:04:07.5252450
270,2016-02-06 09:24:13.2839650,2016-02-06 13:47:06.0025840
271,2016-02-06 09:30:18.3113350,2016-02-06 13:48:19.6575940
272,2016-02-06 09:40:14.1328800,
273,2016-02-06 09:50:14.8804670,2016-02-06 13:38:46.6141280
274,2016-02-06 09:52:10.8492160,2016-02-06 13:42:59.8349210
275,2016-02-06 10:49:09.2121440,2016-02-06 13:49:41.4647060
276,2016-02-06 11:14:10.2507920,2016-02-06 19:28:11.3867700
277,2016-02-06 11:14:10.2507920,2016-02-06 19:28:11.3867700
278,2016-02-06 11:17:09.6261330,2016-02-06 13:50:32.4658800
279,2016-02-06 11:39:12.2747150,2016-02-10 03:39:05.7932060
280,2016-02-06 12:11:09.9433700,2016-02-07 17:09:28.1238580
281,2016-02-06 12:18:14.3984140,2016-02-06 19:25:37.1409920
282,2016-02-06 12:53:09.3725220,2016-02-06 13:54:19.9839280
283,2016-02-06 13:49:09.7071060,2016-02-08 20:00:17.5147920
284,2016-02-06 13:59:12.9366940,2016-02-06 17:22:57.3754140
285,2016-02-06 14:24:11.2360010,
286,2016-02-06 14:43:08.9596870,2016-02-06 17:24:22.2352320
287,2016-02-06 15:41:09.0491520,2016-02-06 19:26:40.8901410
288,2016-02-06 15:56:18.1639090,2016-02-06 19:29:43.4675890
289,2016-02-06 17:01:09.0913320,2016-02-09 21:50:05.4618040
290,2016-02-06 17:38:17.7150700,2016-02-07 14:31:41.8574880
291,2016-02-06 19:13:16.6900940,2016-02-07 14:35:40.6591230
292,2016-02-06 19:18:11.7628590,2016-02-06 20:51:04.3493180
293,2016-02-06 19:23:07.7034300,2016-02-07 14:43:21.3270190
294,2016-02-06 19:27:09.5776880,2016-02-07 15:38:37.7994790
295,2016-02-06 19:32:13.2487150,2016-02-07 23:37:24.5064630
296,2016-02-06 20:28:29.0529960,2016-02-07 15:51:08.5378370
297,2016-02-06 20:34:10.1296620,2016-02-07 15:19:39.1662270
298,2016-02-05 02:50:12.8990440,2016-02-05 06:07:37.8994470
299,2016-02-07 06:07:09.5699580,2016-02-07 16:10:16.4490360
300,2016-02-07 06:21:08.3621980,
301,2016-02-07 07:27:16.4647250,2016-02-07 14:05:58.0243330
302,2016-02-07 07:45:13.1326900,2016-02-09 03:43:02.5824510
303,2016-02-07 07:52:10.4434630,2016-02-07 14:04:20.7188110
304,2016-02-07 08:14:12.1847700,2016-02-08 13:42:21.2862360
305,2016-02-07 08:33:11.7322490,2016-02-08 23:40:06.5492960
306,2016-02-07 08:59:09.0172870,2016-02-07 12:53:18.0584600
307,2016-02-07 09:04:11.4335170,2016-02-08 15:11:48.7525480
308,2016-02-07 09:19:11.7110110,2016-02-07 12:56:16.0508300
309,2016-02-07 09:25:12.1871510,2016-02-07 12:57:51.1016390
310,2016-02-07 09:32:18.1593400,2016-02-07 13:18:30.9792090
311,2016-02-07 10:08:10.1550660,2016-02-07 13:21:47.5905720
312,2016-02-07 11:06:11.3014290,2016-02-07 13:33:06.3717180
